Chr	Start	End	Peak_score	Distance_to_TSS	EntrezID	Refseq	Ensembl	Gene	Peak_type	Peak_bin_distance	Peak_bin	Annotation_method	Interaction_score	Promoter_bin	TSS_bin_distance
chr4	140964612	140965107	0.0	3589	67680.0	NM_023374	ENSMUSG00000009863	Sdhb	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr19	32715288	32715632	302.598	-3162	67979.0	NM_026487	ENSMUSG00000013662	Atad1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	107696532	107697047	0.0	-230	229709.0	NM_145542	ENSMUSG00000027893	Ahcyl1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126693257	126694021	0.0	2144	75764.0	NM_029420	ENSMUSG00000059772	Slx1b	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	140961156	140961463	182.37	39	67680.0	NM_023374	ENSMUSG00000009863	Sdhb	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	135934776	135935412	252.231	-453	22628.0	NM_018871	ENSMUSG00000051391	Ywhag	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr14	65666047	65666448	183.367	-155	71145.0	NM_028903	ENSMUSG00000022032	Scara5	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	90740435	90740762	196.338	-1561	13371.0	NM_010050	ENSMUSG00000007682	Dio2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr19	32593796	32594392	224.281	-1621	23972.0	NM_011864	ENSMUSG00000024899	Papss2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126643222	126643787	0.0	-5804	75565.0	NM_029339	ENSMUSG00000030714	Sgf29	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	140957866	140958472	0.0	-267	100126227.0	NR_045911	ENSMUSG00000087698	Gm13031	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	110483266	110483807	0.0	4197	26399.0	NM_011943	ENSMUSG00000020623	Map2k6	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	65416871	65417082	87.681	8495	18155.0	NM_010932	ENSMUSG00000045731	Pnoc	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	93593670	93594521	0.0	-4438	69878.0	NM_027246	ENSMUSG00000020018	Snrpf	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr12	90729570	90730254	278.669	9126	13371.0	NM_010050	ENSMUSG00000007682	Dio2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	157030904	157031358	0.0	-24056	98932.0	NM_172118	ENSMUSG00000067818	Myl9	Distal	6131.5	1.0	Interaction_anno	nan	-0.0	-464.0
chr4	140902486	140902967	283.653	-3633	18602.0, 18600.0	NM_011061, NM_008812	ENSMUSG00000025330, ENSMUSG00000028927	Padi4, Padi2	Proximal, Proximal	-22273.0, nan	-4.0, nan	Interaction_anno, Proximal_anno	nan, nan	-0.0, nan	-797.0, nan
chrX	38249708	38250019	172.394	2617	245386.0	NM_172930	ENSMUSG00000036502	Tmem255a	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	107424726	107425671	0.0	-161	67619.0	NM_026277	ENSMUSG00000003848	Nob1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	156996632	156997247	120.546	-4829	29812.0	NM_013865	ENSMUSG00000027634	Ndrg3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr19	32486443	32486612	75.743	759	17330.0	NM_010799	ENSMUSG00000024896	Minpp1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126577046	126577474	163.417	2272	102465641.0	NR_106026	ENSMUSG00000098540	Mir7059	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	100643330	100643783	0.0	109	20842.0	NM_009282	ENSMUSG00000037286	Stag1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	166002544	166003085	0.0	-181	18986.0	NM_011137	ENSMUSG00000026565	Pou2f1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	107411449	107411950	197.96	-8495	18104.0	NM_008706	ENSMUSG00000003849	Nqo1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	100548350	100548637	299.607	-2360	17973.0	NM_010878	ENSMUSG00000032475	Nck1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	121184508	121185156	0.0	1165	74043.0	NM_028730	ENSMUSG00000067825	Pex26	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	93549059	93549707	0.0	-5498	237465.0	NM_175488	ENSMUSG00000036168	Ccdc38	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	156991847	156992411	0.0	-18	29812.0	NM_013865	ENSMUSG00000027634	Ndrg3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	165779792	165780841	0.0	-8364	12503.0	NM_031162	ENSMUSG00000005763	Cd247	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	148989580	148989971	137.49	5438	319982.0	NR_102383	ENSMUSG00000106951	5930430L01Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	121179145	121179686	83.701	-4251	74043.0	NM_028730	ENSMUSG00000067825	Pex26	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	38189609	38189895	0.0	-41	56805.0	NM_020256	ENSMUSG00000048047	Zbtb33	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	107466658	107467309	0.0	-8086	99738.0	NM_145922	ENSMUSG00000027895	Kcnc4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	93539823	93540061	266.706	91	71761.0	NM_027908	ENSMUSG00000015890	Amdhd1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chrX	38181883	38182392	281.184	-7655	56805.0	NM_020256	ENSMUSG00000048047	Zbtb33	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	107462174	107462819	305.59	-3599	99738.0	NM_145922	ENSMUSG00000027895	Kcnc4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	121129996	121130914	0.0	567	194401.0	NM_153396	ENSMUSG00000051586	Mical3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr18	42510972	42511648	0.0	-177	100042757.0, 56070.0	NR_033452, NM_001039474	ENSMUSG00000117662, ENSMUSG00000024498	Gm4013, Tcerg1	Promoter, Promoter	-13689.5, nan	-3.0, nan	Interaction_anno, Proximal_anno	nan, nan	0.0, nan	197.0, nan
chr7	126503259	126503878	0.0	-132	233871.0	NM_183020	ENSMUSG00000032637	Atxn2l	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	165771475	165772188	0.0	8074	433375.0	NM_011804	ENSMUSG00000040713	Creg1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	121385123	121385534	0.0	2535	67095.0	NM_175114	ENSMUSG00000032536	Trak1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	38180128	38180908	200.329	-9275	56805.0	NM_020256	ENSMUSG00000048047	Zbtb33	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	93453240	93453559	127.522	4	16993.0	NM_008517	ENSMUSG00000015889	Lta4h	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	165763534	165763809	125.529	-86	433375.0	NM_011804	ENSMUSG00000040713	Creg1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126487053	126487560	76.738	-48	233870.0	NM_172745	ENSMUSG00000073838	Tufm	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	173586589	173587257	0.0	-8650	70065.0	NM_027303	ENSMUSG00000027517	Ankrd60	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	38061653	38062089	248.765	-4604	434769.0	NM_001024850	ENSMUSG00000053909	Rhox10	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	93425686	93426198	267.206	-7165	102465791.0	NR_106161	ENSMUSG00000098679	Mir7688	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120835848	120836265	85.691	-173	94044.0	NM_153516	ENSMUSG00000009112	Bcl2l13	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	107104539	107105254	286.645	-8349	nan	nan	nan	nan	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	126481550	126482085	284.651	-5537	233870.0	NM_172745	ENSMUSG00000073838	Tufm	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	107273890	107274525	0.0	-4650	68576.0	NM_026774	ENSMUSG00000087260	Lamtor5	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr19	32210177	32210688	144.469	580	208449.0	NM_144792	ENSMUSG00000040451	Sgms1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr14	65097879	65098277	0.0	28	54616.0	NM_018788	ENSMUSG00000021978	Extl3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	124859431	124859989	0.0	3319	66523.0	NM_025615	ENSMUSG00000031984	2810004N23Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	140700980	140701684	0.0	-141	108911.0	NM_173867	ENSMUSG00000040945	Rcc2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126475265	126475970	0.0	-488	20399.0	NM_011363	ENSMUSG00000030733	Sh2b1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	107233423	107234072	0.0	3134	319929.0	NM_001256174	ENSMUSG00000094613	A630076J17Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	107031022	107031458	0.0	-29	116733.0	NM_126165	ENSMUSG00000031913	Vps4a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chrX	37167204	37167637	234.262	1421	434756.0	NM_001033785	ENSMUSG00000036551	Akap14	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	121374491	121374898	191.349	7737	67095.0	NM_175114	ENSMUSG00000032536	Trak1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	126467310	126467672	0.0	-4418	11937.0	NM_007504	ENSMUSG00000030730	Atp2a1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120674246	120674401	85.691	8010	330409.0	NM_001128151	ENSMUSG00000071226	Cecr2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135737227	135737687	241.25	-1568	102466791.0	NR_106001	ENSMUSG00000099197	Mir7034	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	109619201	109619524	248.237	-7974	52639.0	NM_145940	ENSMUSG00000041895	Wipi1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	37074492	37075258	0.0	8158	104369.0	NR_002900	ENSMUSG00000065642	Snora69	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	107188304	107188908	0.0	5463	242151.0	NM_001081140	ENSMUSG00000042861	Kcna10	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	156482060	156482705	0.0	6834	13821.0	NM_013510	ENSMUSG00000027624	Epb41l1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	165641425	165641718	240.793	-7031	68481.0	NM_001001880	ENSMUSG00000026566	Mpzl1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	106927298	106927638	306.587	-8272	20650.0	NM_009229	ENSMUSG00000041308	Sntb2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	64956666	64956831	128.519	6456	210925.0	NM_153414	ENSMUSG00000021975	Ints9	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	126436657	126437190	0.0	8157	70314.0	NM_030566	ENSMUSG00000030727	Rabep2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	93171212	93171434	80.716	8538	100316689.0	NR_035452	ENSMUSG00000089214	Mir1931	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	121680691	121681228	128.519	-7809	210004.0	NM_178664	ENSMUSG00000046605	B3gntl1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr18	40255498	40255869	175.386	-621	nan	nan	nan	nan	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	87017165	87017391	105.603	-4062	217733.0	NM_172583	ENSMUSG00000034145	Tmem63c	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	37042698	37043298	0.0	-5847	245381.0	NM_173779	ENSMUSG00000044400	Sowahd	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	156305759	156306169	0.0	-6509	70873.0	NM_027585	ENSMUSG00000038085	Cnbd2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	106887813	106888605	0.0	5384	214987.0	NM_145412	ENSMUSG00000046691	Chtf8	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	126399411	126400177	0.0	-3057	18020.0	NM_010900	ENSMUSG00000030722	Nfatc2ip	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr12	86981196	86981584	104.607	7286	238331.0	NM_001080943	ENSMUSG00000048483	Zdhhc22	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135688912	135689445	200.329	34	18984.0	NM_008898	ENSMUSG00000005514	Por	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	93160496	93160764	0.0	-246	237459.0	NM_146239	ENSMUSG00000020015	Cdk17	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	99580696	99581287	0.0	5193	83703.0	NM_031403	ENSMUSG00000032469	Dbr1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	156196500	156196941	68.784	74	228829.0	NM_172674	ENSMUSG00000038116	Phf20	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126377431	126378428	0.0	4	73658.0	NM_023712	ENSMUSG00000030741	Spns1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr19	31755881	31756694	240.793	8745	19091.0	NM_011160	ENSMUSG00000052920	Prkg1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	109444774	109445949	0.0	5284	100503496.0	NR_040680	nan	Gm45916	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135630681	135631239	293.624	-1694	215160.0, 76571.0	NM_031398, NM_029659	ENSMUSG00000039917, ENSMUSG00000019178	Rhbdd2, Styxl1	Promoter, Promoter	nan, 5960.5	nan, 1.0	Proximal_anno, Interaction_anno	nan, nan	nan, 1.0	nan, 3301.0
chr10	93081382	93082034	0.0	-86	380654.0	NM_001347060	ENSMUSG00000020014	Cfap54	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	120538973	120539550	0.0	-7963	214932.0	NM_144815	ENSMUSG00000058979	Hdhd5	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	193273312	193273554	232.266	-245	14373.0	NM_008059	ENSMUSG00000009633	G0s2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	86945129	86945999	220.289	-1477	217732.0	NM_173735	ENSMUSG00000034157	Cipc	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	107093908	107094474	0.0	-7376	16490.0	NM_008417	ENSMUSG00000040724	Kcna2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	99469697	99470211	188.356	-467	69797.0	NR_028123	ENSMUSG00000046242	1600029I14Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	106687275	106688004	143.472	4572	272538.0	NM_173037	ENSMUSG00000041949	Tango6	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	165460739	165461509	160.424	-136	70456.0	NM_027430	ENSMUSG00000026568	Mpc2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	135615854	135616527	0.0	-16463	76571.0	NM_029659	ENSMUSG00000019178	Styxl1	Distal	-8809.0	-2.0	Interaction_anno	nan	1.0	3301.0
chr2	155946227	155946671	188.999	-1082	14563.0	NM_008109	ENSMUSG00000038259	Gdf5	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	173583378	173583856	0.0	-5344	70065.0	NM_027303	ENSMUSG00000027517	Ankrd60	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	106721687	106722067	163.417	195	321000.0	NM_028081	ENSMUSG00000056260	Lrif1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	99458763	99459151	0.0	2714	623534.0	NM_001165957	nan	Nme9	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	36820286	36820722	192.981	-3304	69591.0	NR_131979	ENSMUSG00000097468	Mdrl	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135400156	135400905	0.0	-5985	107939.0	NM_148932	ENSMUSG00000053293	Pom121	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120466516	120467325	195.34	3724	16172.0	NM_008359	ENSMUSG00000002897	Il17ra	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	106682874	106683983	0.0	361	272538.0	NM_173037	ENSMUSG00000041949	Tango6	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	109441173	109441851	221.863	1434	100503496.0	NR_040680	nan	Gm45916	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	99444962	99445128	80.716	-8333	17532.0	NM_008624	ENSMUSG00000032470	Mras	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	140252457	140252667	120.546	-5751	230868.0	NM_198610	ENSMUSG00000040972	Igsf21	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	36807870	36808448	0.0	9041	69591.0	NR_131979	ENSMUSG00000097468	Mdrl	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135395764	135396137	278.669	-1405	107939.0	NM_148932	ENSMUSG00000053293	Pom121	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	106675026	106675463	180.374	-7823	272538.0	NM_173037	ENSMUSG00000041949	Tango6	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	150665223	150666346	0.0	-173	381695.0, 12190.0	NM_201369, NM_009765	ENSMUSG00000029655, ENSMUSG00000041147	N4bp2l2, Brca2	Promoter, Promoter	nan, -9215.0	nan, -2.0	Proximal_anno, Interaction_anno	nan, nan	nan, 0.0	nan, 2379.0
chr11	109425427	109426265	237.804	-100	13929.0	NM_025275	ENSMUSG00000020610	Amz2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	105991676	105992532	194.342	9393	100503311.0	NM_029604	ENSMUSG00000010136	Pifo	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	36795743	36796728	0.0	639	11740.0	NM_007451	ENSMUSG00000016319	Slc25a5	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	135367833	135368347	293.166	-1863	100609.0	NM_145414	ENSMUSG00000000916	Nsun5	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr18	38992903	38993469	0.0	41	71302.0	NM_175164	ENSMUSG00000036452	Arhgap26	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	99242810	99243251	46.944	-310	68121.0	NM_023873	ENSMUSG00000056267	Cep70	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	86888156	86888364	58.849	-3446	238330.0	NM_145836	ENSMUSG00000034168	Irf2bpl	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	148958424	148959322	0.0	8623	71473.0	NR_040686	ENSMUSG00000079069	8430423G03Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	155811791	155812192	0.0	7211	613262.0	NR_015528	ENSMUSG00000074649	BC029722	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120197963	120198634	0.0	4476	29862.0	NM_016718	ENSMUSG00000041377	Ninj2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	105957318	105957535	98.632	-2071	70465.0	NM_027432	ENSMUSG00000000561	Wdr77	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126089873	126090366	304.593	-7709	269994.0	NM_001101488	ENSMUSG00000046182	Gsg1l	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	99242195	99242619	238.8	-934	68121.0	NM_023873	ENSMUSG00000056267	Cep70	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	120193168	120193732	0.0	-373	29862.0	NM_016718	ENSMUSG00000041377	Ninj2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr14	64453888	64454420	0.0	1749	110265.0	NM_026322	ENSMUSG00000054733	Msra	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	173578022	173578281	73.754	121	70065.0	NM_027303	ENSMUSG00000027517	Ankrd60	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chrX	36644670	36645219	262.214	469	338351.0	NM_001081956	ENSMUSG00000059708	Akap17b	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	126088186	126088865	105.603	-6115	269994.0	NM_001101488	ENSMUSG00000046182	Gsg1l	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120188327	120188655	207.315	-5332	29862.0	NM_016718	ENSMUSG00000041377	Ninj2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	105899778	105900829	0.0	-4117	11542.0	NM_009631	ENSMUSG00000000562	Adora3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr18	38890213	38890600	0.0	-2049	545253.0	NM_001033789	nan	Gm5820	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	135191602	135192345	224.281	4651	22385.0	NM_011714	ENSMUSG00000002748	Baz1b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	64440419	64440950	131.509	341	110265.0	NM_026322	ENSMUSG00000054733	Msra	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	155765142	155765649	215.298	-9946	17391.0	NM_010808	ENSMUSG00000027612	Mmp24	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	109297959	109298706	0.0	-152	19739.0	NM_011268	ENSMUSG00000020599	Rgs9	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	164870684	164870932	105.603	7687	433374.0	NR_040303	ENSMUSG00000104117	Gm20743	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120039038	120040211	0.0	-970	232341.0	NM_198703	ENSMUSG00000045962	Wnk1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	105894740	105895644	260.405	-9229	11542.0	NM_009631	ENSMUSG00000000562	Adora3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135186913	135187297	297.16	-218	22385.0	NM_011714	ENSMUSG00000002748	Baz1b	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	91170562	91170809	68.784	-136	21917.0	NM_011605	ENSMUSG00000019961	Tmpo	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	121672940	121673620	231.826	-129	210004.0	NM_178664	ENSMUSG00000046605	B3gntl1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	98979770	98980316	0.0	-6330	23873.0	NM_011810	ENSMUSG00000032463	Faim	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	155696176	155696713	0.0	-4061	56407.0	NM_019828	ENSMUSG00000038324	Trpc4ap	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	120036942	120037650	218.293	1359	232341.0	NM_198703	ENSMUSG00000045962	Wnk1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	164458214	164458498	126.526	-1	11931.0	NM_009721	ENSMUSG00000026576	Atp1b1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	193255590	193256104	282.657	8198	15483.0	NM_008288	ENSMUSG00000016194	Hsd11b1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	135185664	135186326	109.587	-1328	22385.0	NM_011714	ENSMUSG00000002748	Baz1b	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	155692161	155692957	0.0	-175	56407.0	NM_019828	ENSMUSG00000038324	Trpc4ap	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	91166795	91167400	294.621	3452	21917.0	NM_011605	ENSMUSG00000019961	Tmpo	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr19	55316274	55316711	179.377	436	53611.0	NM_016862	ENSMUSG00000024983	Vti1a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr19	29647856	29648767	0.0	103	226090.0	NM_001081213	ENSMUSG00000046324	Ermp1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	124128511	124128930	155.438	7178	12774.0	NM_009917	ENSMUSG00000079227	Ccr5	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	108925099	108925719	0.0	5060	12006.0	NM_015732	ENSMUSG00000000142	Axin2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr3	105687297	105687912	0.0	-34	53975.0	NM_017397	ENSMUSG00000027905	Ddx20	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	135149359	135149663	57.857	-175	27368.0	NM_013763	ENSMUSG00000005374	Tbl2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	148952482	148952881	266.706	2432	71473.0	NR_040686	ENSMUSG00000079069	8430423G03Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	106415064	106415573	0.0	-8	22751.0	NM_011764	ENSMUSG00000031907	Zfp90	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	98296651	98296985	140.481	248	74080.0	NM_144533	ENSMUSG00000032456	Nmnat3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chrX	36489555	36489868	165.411	2923	101055983.0	NM_001370943	ENSMUSG00000091556	Gm14569	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	106411863	106412303	0.0	-3244	22751.0	NM_011764	ENSMUSG00000031907	Zfp90	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr12	86726206	86726787	154.441	-37	68737.0	NM_144524	ENSMUSG00000021257	Angel1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr18	38338191	38338820	0.0	487	26384.0	NM_011937	ENSMUSG00000052102	Gnpda1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	164316561	164317245	0.0	9231	171567.0	NM_138314	ENSMUSG00000026575	Nme7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	36487949	36488323	292.627	4499	101055983.0	NM_001370943	ENSMUSG00000091556	Gm14569	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	124758711	124759082	123.536	-7031	69627.0	NM_001081120	ENSMUSG00000043068	Fam89a	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr18	38296354	38297005	0.0	45	56736.0	NM_020012	ENSMUSG00000060450	Rnf14	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	119472174	119472906	0.0	-5329	22419.0	NM_009525	ENSMUSG00000030170	Wnt5b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr18	80714687	80714961	184.022	-1753	18018.0	NM_016791	ENSMUSG00000033016	Nfatc1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	155627029	155627660	0.0	4465	735275.0	NR_030757	ENSMUSG00000076312	Mir499	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr18	38250149	38250569	91.663	110	66839.0	NM_024179	ENSMUSG00000024442	Dele1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	164147912	164148335	136.493	-3711	14067.0	NM_007976	ENSMUSG00000026579	F5	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	139643946	139644532	0.0	197	102465617.0	NR_105987	ENSMUSG00000098569	Mir7020	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	135078111	135078550	0.0	-65	194309.0	NM_177574	ENSMUSG00000043614	Vps37d	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	119444098	119444739	0.0	4967	22419.0	NM_009525	ENSMUSG00000030170	Wnt5b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	155624680	155625186	258.732	2053	735275.0	NR_030757	ENSMUSG00000076312	Mir499	Promoter	nan	nan	Proximal_anno	nan	nan	nan
